Paper Name	KDD	ACL	NATURE	CVPR	Social Sciences	Natural Sciences	NLP	CV	Web App	Feature Definition	Interaction	Discretize	Join multiple sources	Normalize	Standardize	Hashing	Bag of Words	Impute Missing Values	Matrix Factorization Based (PCA, SVD)	Univariate Feature Selection (via support, mutual information, correlation, etc)	DataPrepOtherCount	DNN: CNN	DNN: LSTM	DNN: other	SVM	GLMs (linear/logistic regression, etc)	Generative models (e.g. HMM, LDA)	Matrix Factorization	Tree-based: Decision Tree	Tree-based: Random Forest	Network Analysis	Ensemble	ModelClassOtherCount	Regularize	Learning Rate(&hyper para)	Win/Batch size	Convergence Criteria	Cross Validation	DNN Architecture Mod.	Kernel Change (in SVM)	Precision/Recall	RMSE (MSE)	Accuracy	Correlation (Pearson, Spearman, etc)	(N)DCG	Feature Importance	Case Study	Visualization	Human Evaluation	MetricOtherCount	# Result tables	# Result Figures
Large-Scale Item Categorization in e-Commerce Using Multiple Recurrent Neural Networks	3.0	0.0	0.0	0.0	0.125	0.0	0.125	0.0	2.125	2.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	9.0	6.0
Joint Optimization of Multiple Performance Metrics in Online Video Advertising	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	6.0
Identifying Earmarks in Congressional Bills	3.0	0.0	0.0	0.0	2.125	0.0	0.125	0.0	0.0	3.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	11.0
Predictors without Borders: Behavioral Modeling of Product Adoption in Three Developing Countries	3.0	0.0	0.0	0.0	2.125	0.0	0.0	0.0	0.125	2.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	10.0
EMBERS at 4 years: Experiences operating an Open Source Indicators Forecasting System	3.0	0.0	0.0	0.0	2.125	0.0	0.0	0.0	0.125	1.0	1.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0	6.0	42.0
Minimizing Legal Exposure for High-Tech Companies through Collaborative Filtering Methods	3.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	2.125	2.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	7.0
Identifying Decision Makers from Professional Social Networks	3.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	2.125	3.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	5.0	6.0
Designing Policy Recommendations to Reduce Home Abandonment in Mexico	3.0	0.0	0.0	0.0	2.25	0.0	0.0	0.0	0.0	1.0	0.0	2.0	3.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	3.0
Identifying Police Officers at Risk of Adverse Events	3.0	0.0	0.0	0.0	2.25	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	3.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	2.0	18.0
The Legislative Influence Detector: Finding Text Reuse in State Legislation	3.0	0.0	0.0	0.0	2.25	0.0	0.125	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	18.0
Aircraft Trajectory Prediction made easy with Predictive Analytics	3.0	0.0	0.0	0.0	0.125	2.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	3.0	9.0
An Engagement-Based Customer Lifetime Value System for E-commerce	3.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	2.125	2.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	2.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	9.0	12.0
Catch Me If You Can: Detecting Pickpocket Suspects from Large-Scale Transit Records	3.0	0.0	0.0	0.0	2.125	0.0	0.0	0.0	0.0	3.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	3.0	5.0
Days on Market: Measuring Liquidity in Real Estate Markets	3.0	0.0	0.0	0.0	2.125	0.0	0.0	0.0	0.0	3.0	1.0	0.0	3.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	9.0	3.0
Taxi Driving Behavior Analysis in Latent Vehicle-to-Vehicle Networks: A Social Influence Perspective	3.0	0.0	0.0	0.0	2.25	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	9.0	9.0
CompanyDepot: Employer Name Normalization in the Online Recruitment Industry	3.0	0.0	0.0	0.0	2.125	0.0	0.125	0.0	0.125	2.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	3.0	9.0
Firebird: Predicting Fire Risk and Prioritizing Fire Inspections in Atlanta	3.0	0.0	0.0	0.0	2.25	0.0	0.0	0.0	0.0	2.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	6.0	4.0
Bid-aware Gradient Descent for Unbiased Learning with Censored Data in Display Advertising	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	13.0
Understanding Behaviors that Lead to Purchasing: A Case Study of Pinterest	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	3.0	1.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	9.0
